ICD-10-CM Code Specific,"ICD-10-CM Code Definition (FY 2026)
(Category and subcategory codes highlighted in blue)
",General Category,SEER Casefinding List,"NPCR ePath WG
(for epath selection only)",,,,
C92.00,"Acute myeloblastic leukemia, not having achieved remission",Hematopoietic neoplasm,Reportable,Core,,,,
C92.01,"Acute myeloblastic leukemia, in remission",Hematopoietic neoplasm,Reportable,Core,,,,
C92.02,"Acute myeloblastic leukemia, in relapse",Hematopoietic neoplasm,Reportable,Core,,,,
C92.1,"Chronic myeloid leukemia, BCR/ABL-positive",Hematopoietic neoplasm,Subcategory Code,Subcategory Code (Core),,,,
C92.10,"Chronic myeloid leukemia, BCR/ABL-positive, not having achieved remission",Hematopoietic neoplasm,Reportable,Core,,,,
C92.11,"Chronic myeloid leukemia, BCR/ABL-positive, in remission",Hematopoietic neoplasm,Reportable,Core,,,,
C92.12,"Chronic myeloid leukemia, BCR/ABL-positive, in relapse",Hematopoietic neoplasm,Reportable,Core,,,,
C92.2,"Atypical chronic myeloid leukemia, BCR/ABL-negative",Hematopoietic neoplasm,Subcategory Code,Subcategory Code (Core),,,,
C92.20,"Chronic myeloid leukemia, BCR/ABL-negative, not having achieved remission",Hematopoietic neoplasm,Reportable,Core,,,,
C92.21,"Chronic myeloid leukemia, BCR/ABL-negative, in remission",Hematopoietic neoplasm,Reportable,Core,,,,
C92.22,"Chronic myeloid leukemia, BCR/ABL-negative, in relapse",Hematopoietic neoplasm,Reportable,Core,,,,
C92.3,Myeloid sarcoma,Hematopoietic neoplasm,Subcategory Code,Subcategory Code (Core),,,,
C92.30,"Myeloid sarcoma, not having achieved remission",Hematopoietic neoplasm,Reportable,Core,,,,
C92.31,"Myeloid sarcoma, in remission",Hematopoietic neoplasm,Reportable,Core,,,,
C92.32,"Myeloid sarcoma, in relapse",Hematopoietic neoplasm,Reportable,Core,,,,
C92.4,Acute promyelocytic leukemia,Hematopoietic neoplasm,Subcategory Code,Subcategory Code (Core),,,,
C92.40,"Acute promyelocytic leukemia, not having achieved remission",Hematopoietic neoplasm,Reportable,Core,,,,
C92.41,"Acute promyelocytic leukemia, in remission",Hematopoietic neoplasm,Reportable,Core,,,,
C92.42,"Acute promyelocytic leukemia, in relapse",Hematopoietic neoplasm,Reportable,Core,,,,
C92.5,Acute myelomonocytic leukemia,Hematopoietic neoplasm,Subcategory Code,Subcategory Code (Core),,,,
C92.50,"Acute myelomonocytic leukemia, not having achieved remission",Hematopoietic neoplasm,Reportable,Core,,,,
C92.51,"Acute myelomonocytic leukemia, in remission",Hematopoietic neoplasm,Reportable,Core,,,,
C92.52,"Acute myelomonocytic leukemia, in relapse",Hematopoietic neoplasm,Reportable,Core,,,,
C92.6,Acute myeloid leukemia with 11q23-abnormality,Hematopoietic neoplasm,Subcategory Code,Subcategory Code (Core),,,,
C92.60,"Acute myeloid leukemia with 11q23-abnormality, not having achieved remission",Hematopoietic neoplasm,Reportable,Core,,,,
C92.61,"Acute myeloid leukemia with 11q23-abnormality, in remission",Hematopoietic neoplasm,Reportable,Core,,,,
C92.62,"Acute myeloid leukemia with 11q23-abnormality, in relapse",Hematopoietic neoplasm,Reportable,Core,,,,
C92.9,"Myeloid leukemia, unspecified",Hematopoietic neoplasm ,Subcategory Code,Subcategory Code (Core),,,,
C92.90,"Myeloid leukemia, unspecified, not having achieved remission",Hematopoietic neoplasm,Reportable,Core,,,,
C92.91,"Myeloid leukemia, unspecified, in remission",Hematopoietic neoplasm,Reportable,Core,,,,
C92.92,"Myeloid leukemia, unspecified, in relapse",Hematopoietic neoplasm,Reportable,Core,,,,
C92.A,Acute myeloid leukemia with multilineage dysplasia,Hematopoietic neoplasm ,Subcategory Code,Subcategory Code (Core),,,,
C92.A0,"Acute myeloid leukemia with multilineage dysplasia, not having achieved remission",Hematopoietic neoplasm,Reportable,Core,,,,
C92.A1,"Acute myeloid leukemia with multilineage dysplasia, in remission",Hematopoietic neoplasm,Reportable,Core,,,,
C92.A2,"Acute myeloid leukemia with multilineage dysplasia, in relapse",Hematopoietic neoplasm,Reportable,Core,,,,
C92.Z,Other myeloid leukemia,Hematopoietic neoplasm ,Subcategory Code,Subcategory Code (Core),,,,
C92.Z0,"Other myeloid leukemia, not having achieved remission",Hematopoietic neoplasm,Reportable,Core,,,,
C92.Z1,"Other myeloid leukemia, in remission",Hematopoietic neoplasm,Reportable,Core,,,,
C92.Z2,"Other myeloid leukemia, in relapse",Hematopoietic neoplasm,Reportable,Core,,,,
C93,Monocytic leukemia,Hematopoietic neoplasm ,Category Code,Category Code (Core),,,,
C93.0,Acute monoblastic/monocytic leukemia,Hematopoietic neoplasm ,Subcategory Code,Subcategory Code (Core),,,,
C93.00,"Acute monoblastic/monocytic leukemia, not having achieved remission",Hematopoietic neoplasm,Reportable,Core,,,,
C93.01,"Acute monoblastic/monocytic leukemia, in remission",Hematopoietic neoplasm,Reportable,Core,,,,
C93.02,"Acute monoblastic/monocytic leukemia, in relapse",Hematopoietic neoplasm,Reportable,Core,,,,
C93.1,Chronic myelomonocytic leukemia,Hematopoietic neoplasm ,Subcategory Code,Subcategory Code (Core),,,,
C93.10,"Chronic myelomonocytic leukemia, not having achieved remission",Hematopoietic neoplasm,Reportable,Core,,,,
C93.11,"Chronic myelomonocytic leukemia, in remission",Hematopoietic neoplasm,Reportable,Core,,,,
C93.12,"Chronic myelomonocytic leukemia, in relapse",Hematopoietic neoplasm,Reportable,Core,,,,
C93.3,Juvenile myelomonocytic leukemia,Hematopoietic neoplasm ,Subcategory Code,Subcategory Code (Core),,,,
C93.30,"Juvenile myelomonocytic leukemia, not having achieved remission",Hematopoietic neoplasm,Reportable,Core,,,,
C93.31,"Juvenile myelomonocytic leukemia, in remission",Hematopoietic neoplasm,Reportable,Core,,,,
C93.32,"Juvenile myelomonocytic leukemia, in relapse",Hematopoietic neoplasm,Reportable,Core,,,,
C93.9,"Monocytic leukemia, unspecified",Hematopoietic neoplasm ,Subcategory Code,Subcategory Code (Core),,,,
C93.90,"Monocytic leukemia, unspecified, not having achieved remission",Hematopoietic neoplasm,Reportable,Core,,,,
C93.91,"Monocytic leukemia, unspecified, in remission",Hematopoietic neoplasm,Reportable,Core,,,,
C93.92,"Monocytic leukemia, unspecified, in relapse",Hematopoietic neoplasm,Reportable,Core,,,,
C93.Z,Other monocytic leukemia,Hematopoietic neoplasm ,Subcategory Code,Subcategory Code (Core),,,,
C93.Z0,"Other monocytic leukemia, not having achieved remission",Hematopoietic neoplasm,Reportable,Core,,,,
C93.Z1,"Other monocytic leukemia, in remission",Hematopoietic neoplasm,Reportable,Core,,,,
C93.Z2,"Other monocytic leukemia, in relapse",Hematopoietic neoplasm,Reportable,Core,,,,
C94,Other leukemias of specified cell type,Hematopoietic neoplasm ,Category Code,Category Code (Core),,,,
C94.0,Acute erythroid leukemia,Hematopoietic neoplasm ,Subcategory Code,Subcategory Code (Core),,,,
C94.00,"Acute erythroid leukemia, not having achieved remission",Hematopoietic neoplasm,Reportable,Core,,,,
C94.01,"Acute erythroid leukemia, in remission",Hematopoietic neoplasm,Reportable,Core,,,,
C94.02,"Acute erythroid leukemia, in relapse",Hematopoietic neoplasm,Reportable,Core,,,,
C94.2,Acute megakaryoblastic leukemia,Hematopoietic neoplasm ,Subcategory Code,Subcategory Code (Core),,,,
C94.20,"Acute megakaryoblastic leukemia, not having achieved remission",Hematopoietic neoplasm,Reportable,Core,,,,
C94.21,"Acute megakaryoblastic leukemia, in remission",Hematopoietic neoplasm,Reportable,Core,,,,
C94.22,"Acute megakaryoblastic leukemia, in relapse",Hematopoietic neoplasm,Reportable,Core,,,,
C94.3,Mast cell leukemia,Hematopoietic neoplasm ,Subcategory Code,Subcategory Code (Core),,,,
C94.30,"Mast cell leukemia, not having achieved remission",Hematopoietic neoplasm,Reportable,Core,,,,
C94.31,"Mast cell leukemia, in remission",Hematopoietic neoplasm,Reportable,Core,,,,
C94.32,"Mast cell leukemia, in relapse",Hematopoietic neoplasm,Reportable,Core,,,,
C94.4,Acute panmyelosis with myelofibrosis,Hematopoietic neoplasm ,Subcategory Code,Subcategory Code (Core),,,,
C94.40,"Acute panmyelosis with myelofibrosis, not having achieved remission",Hematopoietic neoplasm,Reportable,Core,,,,
C94.41,"Acute panmyelosis with myelofibrosis, in remission",Hematopoietic neoplasm,Reportable,Core,,,,
C94.42,"Acute panmyelosis with myelofibrosis, in relapse",Hematopoietic neoplasm,Reportable,Core,,,,
C94.6,"Myelodysplastic disease, not classified",Hematopoietic neoplasm,Reportable,Core,,,,
C94.8,Other specified leukemias,Hematopoietic neoplasm ,Subcategory Code,Subcategory Code (Core),,,,
C94.80,"Other specified leukemias, not having achieved remission",Hematopoietic neoplasm,Reportable,Core,,,,
C94.81,"Other specified leukemias, in remission",Hematopoietic neoplasm,Reportable,Core,,,,
C94.82,"Other specified leukemias, in relapse",Hematopoietic neoplasm,Reportable,Core,,,,
C95,Leukemia of unspecified cell type,Hematopoietic neoplasm ,Category Code,Category Code (Core),,,,
C95.0,Acute leukemia of unspecified cell type,Hematopoietic neoplasm ,Subcategory Code,Subcategory Code (Core),,,,
C95.00,"Acute leukemia of unspecified cell type, not having achieved remission",Hematopoietic neoplasm,Reportable,Core,,,,
C95.01,"Acute leukemia of unspecified cell type, in remission",Hematopoietic neoplasm,Reportable,Core,,,,
C95.02,"Acute leukemia of unspecified cell type, in relapse",Hematopoietic neoplasm,Reportable,Core,,,,
C95.1,Chronic leukemia of unspecified cell type,Hematopoietic neoplasm ,Subcategory Code,Subcategory Code (Core),,,,
C95.10,"Chronic leukemia of unspecified cell type, not having achieved remission",Hematopoietic neoplasm,Reportable,Core,,,,
C95.11,"Chronic leukemia of unspecified cell type, in remission",Hematopoietic neoplasm,Reportable,Core,,,,
C95.12,"Chronic leukemia of unspecified cell type, in relapse",Hematopoietic neoplasm,Reportable,Core,,,,
C95.9,"Leukemia, unspecified",Hematopoietic neoplasm ,Subcategory Code,Subcategory Code (Core),,,,
C95.90,"Leukemia, unspecified, not having achieved remission",Hematopoietic neoplasm,Reportable,Core,,,,
C95.91,"Leukemia, unspecified, in remission",Hematopoietic neoplasm,Reportable,Core,,,,
C95.92,"Leukemia, unspecified, in relapse",Hematopoietic neoplasm,Reportable,Core,,,,
C96,"Other and unspecified malignant neoplasms of lymphoid, hematopoietic and related tissue",Hematopoietic neoplasm ,Category Code,Category Code (Core),,,,
C96.0,Multifocal and multisystemic (disseminated) Langerhans-cell histiocytosis,Hematopoietic neoplasm,Reportable,Core,,,,
C96.2,Malignant mast cell neoplasm,Hematopoietic neoplasm ,Subcategory Code,Subcategory Code (Core),,,,
C96.20,"Malignant mast cell neoplasm, unspecified",Hematopoietic neoplasm,Reportable,Core,,,,
C96.21,Aggressive systemic mastocytosis,Hematopoietic neoplasm,Reportable,Core,,,,
C96.22,Mast cell sarcoma,Hematopoietic neoplasm,Reportable,Core,,,,
C96.29,Other malignant mast cell neoplasm,Hematopoietic neoplasm,Reportable,Core,,,,
C96.4,Sarcoma of dendritic cells (accessory cells),Hematopoietic neoplasm,Reportable,Core,,,,
C96.5,Multifocal and unisystemic Langerhans-cell histiocytosis,Hematopoietic neoplasm,Reportable,Core,,,,
C96.6,Unifocal Langerhans-cell histiocytosis,Hematopoietic neoplasm,Reportable,Core,,,,
C96.9,"Malignant neoplasm of lymphoid, hematopoietic and related tissue, unspecified",Hematopoietic neoplasm,Reportable,Core,,,,
C96.A,Secondary carcinoid tumors Histiocytic sarcoma,Hematopoietic neoplasm,Reportable,Core,,,,
C96.Z,"Other specified malignant neoplasms of lymphoid, hematopoietic and related tissue",Hematopoietic neoplasm,Reportable,Core,,,,
D00,"Carcinoma in situ of oral cavity, esophagus and stomach",In-situ neoplasm,Category Code,Category Code (Core),,,,
D00.0,"Carcinoma in situ of lip, oral cavity and pharynx",In-situ neoplasm,Subcategory Code,Subcategory Code (Core),,,,
D00.00,"Carcinoma in situ of oral cavity, unspecified site",In-situ neoplasm,Reportable,Core,,,,
D00.01,Carcinoma in situ of labial mucosa and vermilion border,In-situ neoplasm,Reportable,Core,,,,
D00.02,Carcinoma in situ of buccal mucosa,In-situ neoplasm,Reportable,Core,,,,
D00.03,Carcinoma in situ of gingiva and edentulous alveolar ridge,In-situ neoplasm,Reportable,Core,,,,
D00.04,Carcinoma in situ of soft palate,In-situ neoplasm,Reportable,Core,,,,
D00.05,Carcinoma in situ of hard palate,In-situ neoplasm,Reportable,Core,,,,
D00.06,Carcinoma in situ of floor of mouth,In-situ neoplasm,Reportable,Core,,,,
D00.07,Carcinoma in situ of tongue,In-situ neoplasm,Reportable,Core,,,,
D00.08,Carcinoma in situ of pharynx,In-situ neoplasm,Reportable,Core,,,,
D00.1,Carcinoma in situ of esophagus,In-situ neoplasm,Reportable,Core,,,,
D00.2,Carcinoma in situ of stomach,In-situ neoplasm,Reportable,Core,,,,
D01,Carcinoma in situ of other and unspecified digestive organs,In-situ neoplasm,Category Code,Category Code (Core),,,,
D01.0,Carcinoma in situ of colon,In-situ neoplasm,Reportable,Core,,,,
D01.1,Carcinoma in situ of rectosigmoid junction,In-situ neoplasm,Reportable,Core,,,,
D01.2,Carcinoma in situ of rectum,In-situ neoplasm,Reportable,Core,,,,
D01.3,Carcinoma in situ of anus and anal canal,In-situ neoplasm,Reportable,Core,,,,
D01.4,Carcinoma in situ of other and unspecified parts of intestine,In-situ neoplasm,Subcategory Code,Subcategory Code (Core),,,,
D01.40,Carcinoma in situ of unspecified part of intestine,In-situ neoplasm,Reportable,Core,,,,
D01.49,Carcinoma in situ of other parts of intestine,In-situ neoplasm,Reportable,Core,,,,
D01.5,"Carcinoma in situ of liver, gallbladder and bile ducts",In-situ neoplasm,Reportable,Core,,,,
D01.7,Carcinoma in situ of other specified digestive organs,In-situ neoplasm,Reportable,Core,,,,
D01.9,"Carcinoma in situ of digestive organ, unspecified",In-situ neoplasm,Reportable,Core,,,,
D02,Carcinoma in situ of middle ear and respiratory system,In-situ neoplasm,Category Code,Category Code (Core),,,,
D02.0,Carcinoma in situ of larynx,In-situ neoplasm,Reportable,Core,,,,
D02.1,Carcinoma in situ of trachea,In-situ neoplasm,Reportable,Core,,,,
D02.2,Carcinoma in situ of bronchus and lung,In-situ neoplasm,Subcategory Code,Subcategory Code (Core),,,,
D02.20,Carcinoma in situ of unspecified bronchus and lung,In-situ neoplasm,Reportable,Core,,,,
D02.21,Carcinoma in situ of right bronchus and lung,In-situ neoplasm,Reportable,Core,,,,
D02.22,Carcinoma in situ of left bronchus and lung,In-situ neoplasm,Reportable,Core,,,,
D02.3,Carcinoma in situ of other parts of respiratory system,In-situ neoplasm,Reportable,Core,,,,
D02.4,"Carcinoma in situ of respiratory system, unspecified",In-situ neoplasm,Reportable,Core,,,,
D03,Melanoma in situ,In-situ neoplasm,Category Code,Category Code (Core),,,,
D03.0,Melanoma in situ of lip,In-situ neoplasm,Reportable,Core,,,,
D03.1,"Melanoma in situ of eyelid, including canthus",In-situ neoplasm,Subcategory Code,Subcategory Code (Core),,,,
D03.10,"Melanoma in situ of unspecified eyelid, including canthus",In-situ neoplasm,Reportable,Core,,,,
D03.11,"Melanoma in situ of right eyelid, including canthus",In-situ neoplasm,Subcategory Code,Subcategory Code (Core),,,,
D03.111,"Melanoma in situ of right upper eyelid, including canthus",In-situ neoplasm,Reportable,Core,,,,
D03.112,"Melanoma in situ of right lower eyelid, including canthus",In-situ neoplasm,Reportable,Core,,,,
D03.12,"Melanoma in situ of left eyelid, including canthus",In-situ neoplasm,Subcategory Code,Subcategory Code (Core),,,,
D03.121,"Melanoma in situ of left upper eyelid, including canthus",In-situ neoplasm,Reportable,Core,,,,
D03.122,"Melanoma in situ of left lower eyelid, including canthus",In-situ neoplasm,Reportable,Core,,,,
D03.2,Melanoma in situ of ear and external auricular canal,In-situ neoplasm,Subcategory Code,Subcategory Code (Core),,,,
D03.20,Melanoma in situ of unspecified ear and external auricular canal,In-situ neoplasm,Reportable,Core,,,,
D03.21,Melanoma in situ of right ear and external auricular canal,In-situ neoplasm,Reportable,Core,,,,
D03.22,Melanoma in situ of left ear and external auricular canal,In-situ neoplasm,Reportable,Core,,,,
D03.3,Melanoma in situ of other and unspecified parts of face,In-situ neoplasm,Subcategory Code,Subcategory Code (Core),,,,
D03.30,Melanoma in situ of unspecified part of face,In-situ neoplasm,Reportable,Core,,,,
D03.39,Melanoma in situ of other parts of face,In-situ neoplasm,Reportable,Core,,,,
D03.4,Melanoma in situ of scalp and neck,In-situ neoplasm,Reportable,Core,,,,
D03.5,Melanoma in situ of trunk,In-situ neoplasm,Subcategory Code,Subcategory Code (Core),,,,
D03.51,Melanoma in situ of anal skin,In-situ neoplasm,Reportable,Core,,,,
D03.52,Melanoma in situ of breast (skin) (soft tissue),In-situ neoplasm,Reportable,Core,,,,
D03.59,Melanoma in situ of other part of trunk,In-situ neoplasm,Reportable,Core,,,,
D03.6,"Melanoma in situ of upper limb, including shoulder",In-situ neoplasm,Subcategory Code,Subcategory Code (Core),,,,
D03.60,"Melanoma in situ of unspecified upper limb, including shoulder",In-situ neoplasm,Reportable,Core,,,,
D03.61,"Melanoma in situ of right upper limb, including shoulder",In-situ neoplasm,Reportable,Core,,,,
D03.62,"Melanoma in situ of left upper limb, including shoulder",In-situ neoplasm,Reportable,Core,,,,
D03.7,"Melanoma in situ of lower limb, including hip",In-situ neoplasm,Reportable,Core,,,,
D03.70,"Melanoma in situ of unspecified lower limb, including hip",In-situ neoplasm,Subcategory Code,Subcategory Code (Core),,,,
D03.71,"Melanoma in situ of right lower limb, including hip",In-situ neoplasm,Reportable,Core,,,,
D03.72,"Melanoma in situ of left lower limb, including hip",In-situ neoplasm,Reportable,Core,,,,
D03.8,Melanoma in situ of other sites,In-situ neoplasm,Reportable,Core,,,,
D03.9,"Melanoma in situ, unspecified",In-situ neoplasm,Reportable,Core,,,,
D04,Carcinoma in situ of skin,In-situ neoplasm,Category Code,Category Code (Expanded),,,,
D04.0,Carcinoma in situ of skin of lip,In-situ neoplasm,Reportable,Expanded,,,,
D04.1,"Carcinoma in situ of skin of eyelid, including canthus",In-situ neoplasm,Subcategory Code,Subcategory Code (Expanded),,,,
D04.10,"Carcinoma in situ of skin of unspecified eyelid, including canthus",In-situ neoplasm,Reportable,Expanded,,,,
D04.11,"Carcinoma in situ of skin of right eyelid, including canthus",In-situ neoplasm,Subcategory Code,Subcategory Code (Expanded),,,,
D04.111,"Carcinoma in situ of skin of right upper eyelid, including canthus",In-situ neoplasm,Reportable,Expanded,,,,
D04.112,"Carcinoma in situ of skin of right lower eyelid, including canthus",In-situ neoplasm,Reportable,Expanded,,,,
D04.12,"Carcinoma in situ of skin of left eyelid, including canthus",In-situ neoplasm,Subcategory Code,Subcategory Code (Expanded),,,,
